Name,Description,Alg,Category,Notes
ME,"[M U' : [M' , U2]]",M U' M' U2 M U' M',4-Mover,
MF,"[M L' U' : [M' , U2']]",M L' U' M' U2' M U' L M',4-Mover,
MG,"[L F' L' : [S' , L2]]",L F' L' S' L2 S L' F L',4-Mover,
MH,"[R F : [E' , R2']]",R F E' R2' E R2 F' R',4-Mover,
MJ,"[R U2' : [R' S' R , U']]",R U2' R' S' R U' R' S R U' R',U-Swap,
MK,"[r : [M' , U R' U']]",r M' U R' U' M U R U' r',M-Swap,
ML,"[M' : [U , L' S L]]",M' U L' S L U' L' S' L M,U-Swap,
MN,"[S' : [U , L' E L]]",S' U L' E L U' L' E' L S,U-Swap,
MO,"[r U' R : [S , R2']]",r U' R S R2' S' R U r',4-Mover,
MP,"[S' : [U , L E' L']]",S' U L E' L' U' L E L' S,U-Swap,
MQ,"[R : [U R' U' , M']]",R U R' U' M' U R U' M R',M-Swap,
MR,"[M' : [U , R E' R']]",M' U R E' R' U' R E R' M,U-Swap,
MS,M' : (U' M' U' M)2,M',Alg,
MT,"[U L' F' : [L2 , E]]",U L' F' L2 E L2 E' F L U',4-Mover,
MU,"[R F : [R2' , E]]",R F R2' E R2 E' F' R',4-Mover,
MV,"[R' F R , S']",R' F R S' R' F' R S,S-Swap,
MW,"[R M : [U R' U' , M2']]",R M U R' U' M2' U R U' M R',M-Swap,
MX,"[R2' : [R F R' , S']]",R' F R' S' R F' R' S R2,S-Swap,
NA,"[U' : [L' E L , U2']]",U' L' E L U2' L' E' L U',U-Swap,
NB,"[U2' : [L' E L , U']]",U2' L' E L U' L' E' L U',U-Swap,
ND,"[L' E L , U]",L' E L U L' E' L U',U-Swap,
NE,"[L' F' : [E , L2]]",L' F' E L2 E' L2 F L,4-Mover,
NF,"[r U R : [E , R2']]",r U R E R2' E' R U' r',4-Mover,
NG,"[L F' : [L2' , E]]",L F' L2' E L2 E' F L',4-Mover,
NH,"[u R' : [S , R2]]",u R' S R2 S' R' u',4-Mover,
NJ,"[E' , R U' R']",E' R U' R' E R U R',E-Swap,
NK,"[M2' : [U R' U' , M]]",M2' U R' U' M U R U' M,M-Swap,
NL,"[L2' : [E , L U' L']]",L2' E L U' L' E' L U L,E-Swap,
NM,"[S' : [L' E L , U]]",S' L' E L U L' E' L U' S,U-Swap,
NO,"[R , U' S U]",R U' S U R' U' S' U,S-Insert,
NP,"[M' U' R : [S , R2']]",M' U' R S R2' S' R U M,4-Mover,
NQ,"[U R' U' , M']",U R' U' M' U R U' M,M-Swap,
NR,"[E , L U L']",E L U L' E' L U' L',E-Swap,
NS,"[U M : [U' , l' E l]]",U M U' l' E l U l' E' l M' U',U-Swap,
NU,"[r U' : [S , R2']]",r U' S R2' S' R2 U r',4-Mover,
NV,"[u' R : [E' , R2']]",u' R E' R2' E R u,4-Mover,
NW,"[M : [U R' U' , M2']]",M U R' U' M2' U R U' M,M-Swap,
NX,"[u L : [E' , L2']]",u L E' L2' E L u',4-Mover,
OA,"[U : [R E R' , U2]]",U R E R' U2 R E' R' U,U-Swap,
OB,"[R E R' , U']",R E R' U' R E' R' U,U-Swap,
OD,"[U2 : [R E R' , U]]",U2 R E R' U R E' R' U,U-Swap,
OE,"[R' F R' : [S , R2]]",R' F R' S R2 S' R' F' R,4-Mover,
OF,"[M' U R : [E , R2']]",M' U R E R2' E' R U' M,4-Mover,
OG,"[L F' L : [S , L2']]",L F' L S L2' S' L F L',4-Mover,
OH,"[R' F : [E' , R2]]",R' F E' R2 E R2 F' R,4-Mover,
OJ,"[R' f R : [S' , R2']]",R' f R S' R2' S R f' R,4-Mover,
OK,"[U' : [R' F' R , S']]",U' R' F' R S' R' F R S U,S-Swap,
OL,"[R E : [R' U' R , E]]",R E R' U' R E R' U R E2 R',E-Swap,
OM,"[r U' R' : [S , R2]]",r U' R' S R2 S' R' U r',4-Mover,
ON,"[U' S U , R]",U' S U R U' S' U R',S-Insert,
OP,"[U' S U , R']",U' S U R' U' S' U R,S-Insert,
OQ,"[R : [U R U' , M']]",R U R U' M' U R' U' M R',M-Swap,
OR,"[R' E' : [R U' R' , E']]",R' E' R U' R' E' R U R' E2 R,E-Swap,
OS,"[U' r' : [R U R' , E']]",U' r' R U R' E' R U' R' E r U,E-Swap,
OT,"[S U L : [E , L2']]",S U L E L2' E' L U' S',4-Mover,
OU,"[R' F : [E , R2]]",R' F E R2 E' R2 F' R,4-Mover,
OW,"[U' : [S , R' B R]]",U' S R' B R S' R' B' R U,S-Swap,
OX,"[R F R' , S']",R F R' S' R F' R' S,S-Swap,
PA,"[U' : [L E' L' , U2']]",U' L E' L' U2' L E L' U',U-Swap,
PB,"[U2' : [L E' L' , U']]",U2' L E' L' U' L E L' U',U-Swap,
PD,"[L E' L' , U]",L E' L' U L E L' U',U-Swap,
PE,"[R M U' : [M' , U2]]",R M U' M' U2 M U' M' R',4-Mover,
PF,"[U' E' L : [S' , L2']]",U' E' L S' L2' S L E U,4-Mover,
PG,"[M' U' L : [E' , L2']]",M' U' L E' L2' E L U M,4-Mover,
PH,"[l' U' L : [E' , L2']]",l' U' L E' L2' E L U l,4-Mover,
PK,"[M2' : [U R U' , M]]",M2' U R U' M U R' U' M,M-Swap,
PL,"[E' , L' U L]",E' L' U L E L' U' L,E-Swap,
PM,"[S' : [L E' L' , U]]",S' L E' L' U L E L' U' S,U-Swap,
PN,"[M' U' R' : [S , R2]]",M' U' R' S R2 S' R' U M,4-Mover,
PO,"[R' , U' S U]",R' U' S U R U' S' U,S-Insert,
PQ,"[U R U' , M']",U R U' M' U R' U' M,M-Swap,
PR,"[L2 : [E' , L' U L]]",L2 E' L' U L E L' U' L',E-Swap,
PS,"[U l : [L' U' L , E']]",U l L' U' L E' L' U L E l' U',E-Swap,
PT,"[E , R' U' R]",E R' U' R E' R' U R,E-Swap,
PU,"[U' L F2' : [L' S' L , F']]",U' L F2' L' S' L F' L' S L F' L' U,F-Swap,
PV,"[U' E' R' : [E , R2]]",U' E' R' E R2 E' R' E U,4-Mover,
PW,"[M : [U R U' , M2']]",M U R U' M2' U R' U' M,M-Swap,
PX,"[U E L' : [E , L2]]",U E L' E L2 E' L' E' U',4-Mover,
QB,"[R' : [U' R U , M]]",R' U' R U M U' R' U M' R,M-Swap,
QD,"[L : [U L' U' , M]]",L U L' U' M U L U' M' L',M-Swap,
QE,"[l' : [U' L U , M]]",l' U' L U M U' L' U M' l,M-Swap,
QF,"[M' , U' L' U]",M' U' L' U M U' L U,M-Swap,
QG,"[l' : [U' L' U , M]]",l' U' L' U M U' L U M' l,M-Swap,
QH,"[M' , U' L U]",M' U' L U M U' L' U,M-Swap,
QJ,"[U' R U , M]",U' R U M U' R' U M',M-Swap,
QK,"[U' : [R' F' R , S]]",U' R' F' R S R' F R S' U,S-Swap,
QL,"[U L' U' , M]",U L' U' M U L U' M',M-Swap,
QM,"[r : [U R' U' , M]]",r U R' U' M U R U' M' r',M-Swap,
QN,"[M' , U R' U']",M' U R' U' M U R U',M-Swap,
QO,"[r : [U R U' , M]]",r U R U' M U R' U' M' r',M-Swap,
QP,"[M' , U R U']",M' U R U' M U R' U',M-Swap,
QR,"[U L U' , M]",U L U' M U L' U' M',M-Swap,
QS,"[U' : [R B R' , S]]",U' R B R' S R B' R' S' U,S-Swap,
QT,"[U' R' U , M]",U' R' U M U' R U M',M-Swap,
QU,"[U : [S , R' F' R]]",U S R' F' R S' R' F R U',S-Swap,
QV,"[R' : [U' R' U , M]]",R' U' R' U M U' R U M' R,M-Swap,
QW,"[U : [S , R B R']]",U S R B R' S' R B' R' U',S-Swap,
QX,"[L : [U L U' , M]]",L U L U' M U L' U' M' L',M-Swap,
RA,"[L' U : [L2 , S']]",L' U L2 S' L2 S U' L,4-Mover,
RB,"[R' E2 R , U']",R' E2 R U' R' E2 R U,U-Swap,
RD,"[U2 : [R' E2 R , U]]",U2 R' E2 R U R' E2 R U,U-Swap,
RE,"[U' R F : [E' , R2']]",U' R F E' R2' E R2 F' R' U,4-Mover,
RF,"[L U L' , E']",L U L' E' L U' L' E,E-Swap,
RG,"[S' U' R : [E' , R2']]",S' U' R E' R2' E R U S,4-Mover,
RJ,"[R' U' R : [E' , R2']]",R' U' R E' R2' E R U R,4-Mover,
RK,"[M' , U L U']",M' U L U' M U L' U',M-Swap,
RL,"[U' L' : [S' , L2]]",U' L' S' L2 S L' U,4-Mover,
RM,"[M' : [R E' R' , U]]",M' R E' R' U R E R' U' M,U-Swap,
RN,"[L U L' , E]",L U L' E L U' L' E',E-Swap,
RO,"[R' E2 : [R U' R' , E]]",R' E2 R U' R' E R U R' E R,E-Swap,
RP,"[L2 : [L' U L , E']]",L U L E' L' U' L E L2,E-Swap,
RQ,"[M , U L U']",M U L U' M' U L' U',M-Swap,
RS,"[U2' : [M , U' L U]]",U2' M U' L U M' U' L' U',M-Swap,
RT,"[R U' R : [E' , R2']]",R U' R E' R2' E R U R',4-Mover,
RU,"[D U' R : [E' , R2']]",D U' R E' R2' E R U D',4-Mover,
RV,"[U' R : [E' , R2']]",U' R E' R2' E R U,4-Mover,
RW,"[M2 , U L U']",M2 U L U' M2 U L' U',M-Swap,
RX,U' L' U' L' U L U L U L',U' L' U' L' U L U L U L',Alg,
SA,"[U R' B R : [S , R2']]",U R' B R S R2' S' R B' R U',4-Mover,
SB,(M U' M' U')2,(M U' M' U')2,Alg,
SD,(M U M' U)2,(M U M' U)2,Alg,
SE,M2' : (U' M U' M')2,M2',Alg,
SF,"[U' r' : [E , R U R']]",U' r' E R U R' E' R U' R' r U,E-Swap,
SG,"[U l : [E , L' U' L]]",U l E L' U' L E' L' U L l' U',E-Swap,
SH,"[U' M : [L S L' , U]]",U' M L S L' U L S' L' U' M' U,U-Swap,
