Pair,Description,Alg,Memo,Category,Notes
PU,"[R D : [U , R' D' R]]",R D U R' D' R U' R' D R D' R',Puma,U-swap,
PW,"[D' R U' R' : [R' D R , U2]]",D' R U' R2 D R U2 R' D' R U2 R U R' D,Paw,U2-swap,
PX,"[R : [R D' R' , U']]",R2 D' R' U' R D R' U R',Push,U'-swap,
QA,"[R' U' D : [R D R' , U2]]",R' U' D R D R' U2 R D' R' U2 D' U R,Chai,U2-swap,
QD,"[R' D' : [R' D R , U']]",R' D' R' D R U' R' D' R U D R,Chode,U'-swap,
QE,"[F' L F , R']",F' L F R' F' L' F R,Cheese,R'-swap,
QF,"[R' F : [D , R U R']]",R' F D R U R' D' R U' R' F' R,Chef,D-swap,
QG,"[R' U : [D , R U' R']]",R' U D R U' R' D' R U R' U' R,Qagmire,D-swap,
QH,"[R , U' L U]",R U' L U R' U' L' U,Cheetah,R-swap,
QI,"[R D' U' : [R' D' R , U2]]",R D' U' R' D' R U2 R' D R U' D R',Chi,U2-swap,
QK,"[D' R' U : [D , R U' R']]",D' R' U D R U' R' D' R U R' U' R D,Chick,D-swap,
QL,"[R' F : [D , R U' R']]",R' F D R U' R' D' R U R' F' R,Chili,D-swap,
QO,"[U' R U : [D , R' U' R]]",U' R U D R' U' R D' R' U R U' R' U,Cho,D-swap,
QP,"[R' U : [D' , R U' R']]",R' U D' R U' R' D R U R' U' R,Chomper,D'-swap,
QR,"[R , U' L' U]",R U' L' U R' U' L U,Charcoal,R-swap,
QS,"[D R' U : [D , R U' R']]",D R' U D R U' R' D' R U R' U' R D',Chase,D-swap,
QT,"[R U' : [R' U R , D]]",R U' R' U R D R' U' R D' U R',Chat,D-swap,
QU,"[D' R U' : [R' U R , D']]",D' R U' R' U R D' R' U' R D U R' D,Chungus,D'-swap,
QV,"[U R' U' : [R U R' , D']]",U R' U' R U R' D' R U' R' D U R U',Chevron,D'-swap,
QW,"[D R U' : [R' U R , D']]",D R U' R' U R D' R' U' R D U R' D',Chowder,D'-swap,
QX,"[R U' : [R' U R , D']]",R U' R' U R D' R' U' R D U R',Chesha,D'-swap,
RB,"[R2 U : [D , R' U' R]]",R2 U D R' U' R D' R' U R U' R2,Ribs,D-swap,
RD,"[U' R2' : [D' , R U' R']]",U' R2' D' R U' R' D R U R U,Rod,D'-swap,
RF,"[F , l U' l']",F l U' l' F' l U l',Raft,F-swap,
RG,"[R B' R' : [U , R' D R]]",R B' R' U R' D R U' R' D' R2 B R',Rag,U-swap,
RH,"[U D R' F' : [R U' R' , D]]",U D R' F' R U' R' D R U R' D' F R D' U',Wrath,D-swap,
RI,"[R U R' D' : [R' D R , U2]]",R U R' D' R' D R U2 R' D' R U2 D R U' R',Riri,U2-swap,
RK,"[U' R' U' : [R D R' , U']]",U' R' U' R D R' U' R D' R' U2 R U,Rake,U'-swap,
RL,"[D R' : [R' U R , D]]",D R2 U R D R' U' R D' R D',Rail,D-swap,
RN,"[U R2 U' : [R U R' , D']]",U R2 U' R U R' D' R U' R' D U R2 U',Ron,D'-swap,
RO,"[R B' : [D , R' U' R]]",R B' D R' U' R D' R' U R B R',Roo,D-swap,
RP,"[R2' : [U , R D R']]",R2' U R D R' U' R D' R,Rope,U-swap,
RQ,"[U' L' U , R]",U' L' U R U' L U R',Rachael,R-swap,
RS,"[U' R' U' : [R D' R' , U']]",U' R' U' R D' R' U' R D R' U2 R U,Russ,U'-swap,
RT,"[D' R2' : [U , R D R']]",D' R2' U R D R' U' R D' R D,Rat,U-swap,
RU,"[U' R' : [R' D R , U']]",U' R2 D R U' R' D' R U R U,Ruby,U'-swap,
RV,"[D' U' R' : [R' D R , U']]",D' U' R2 D R U' R' D' R U R U D,Raven,U'-swap,
RW,"[U R : [D' , R U' R']]",U R D' R U' R' D R U R2 U',Raw,D'-swap,
RX,"[R2 U : [D' , R' U' R]]",R2 U D' R' U' R D R' U R U' R2,Rash,D'-swap,
